Head south on Beaty Avenue on Beaty Avenue, continue for 69.3 meters and taking about 49.9 seconds.
Turn left, continue for 4.3 meters and taking about 3.1 seconds.
Turn right, continue for 180.3 meters and taking about 129.8 seconds.
Turn left, continue for 99.6 meters and taking about 71.7 seconds.
Keep right, continue for 10.7 meters and taking about 7.7 seconds.
Turn slight right, continue for 1.5 meters and taking about 1.1 seconds.
Keep left, continue for 214.9 meters and taking about 154.7 seconds.
Turn right, continue for 17.0 meters and taking about 12.2 seconds.
Turn left, continue for 94.0 meters and taking about 67.7 seconds.
Keep left, continue for 120.8 meters and taking about 87.0 seconds.
Keep left, continue for 367.4 meters and taking about 264.5 seconds.
Turn right, continue for 230.1 meters and taking about 165.6 seconds.
Turn left, continue for 12.4 meters and taking about 8.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
