Name: Austin Crescent, Instruction: Head west on Austin Crescent, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Keep left, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: Austin Terrace, Instruction: Turn left onto Austin Terrace, Distance: 60.2 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 165.1 meters, Time: 118.9 seconds
Name: -, Instruction: Keep left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Keep right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 234.4 meters, Time: 168.7 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 167.2 meters, Time: 120.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
