Head west on Austin Crescent on Austin Crescent, continue for 163.9 meters and taking about 118.0 seconds.
Turn left, continue for 5.1 meters and taking about 3.7 seconds.
Turn right, continue for 26.4 meters and taking about 19.0 seconds.
Keep left, continue for 21.2 meters and taking about 15.2 seconds.
Turn right, continue for 4.4 meters and taking about 3.1 seconds.
Turn left onto Austin Terrace on Austin Terrace, continue for 60.2 meters and taking about 43.4 seconds.
Turn right, continue for 165.1 meters and taking about 118.9 seconds.
Keep left, continue for 17.9 meters and taking about 12.9 seconds.
Turn left, continue for 15.6 meters and taking about 11.3 seconds.
Turn right, continue for 126.6 meters and taking about 91.1 seconds.
Keep right, continue for 32.9 meters and taking about 23.7 seconds.
Turn right, continue for 48.5 meters and taking about 34.9 seconds.
Turn sharp left, continue for 234.4 meters and taking about 168.7 seconds.
Turn right, continue for 16.6 meters and taking about 11.9 seconds.
Turn left, continue for 44.6 meters and taking about 32.1 seconds.
Turn left, continue for 40.8 meters and taking about 29.4 seconds.
Turn right, continue for 167.2 meters and taking about 120.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
