Name: Walnut Avenue, Instruction: Head north on Walnut Avenue, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: Stanley Terrace, Instruction: Turn left onto Stanley Terrace, Distance: 148.3 meters, Time: 106.8 seconds
Name: -, Instruction: Turn right, Distance: 140.4 meters, Time: 101.1 seconds
Name: -, Instruction: Keep left, Distance: 182.3 meters, Time: 131.3 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 320.5 meters, Time: 230.7 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Keep left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Keep left, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 134.9 meters, Time: 97.1 seconds
Name: -, Instruction: Turn right, Distance: 444.2 meters, Time: 319.8 seconds
Name: -, Instruction: Turn slight left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn slight right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 122.5 meters, Time: 88.2 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 76.0 meters, Time: 54.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
