Head north on Walnut Avenue on Walnut Avenue, continue for 8.9 meters and taking about 6.4 seconds.
Turn left, continue for 103.1 meters and taking about 74.2 seconds.
Turn left, continue for 18.1 meters and taking about 13.0 seconds.
Turn right, continue for 1.8 meters and taking about 1.3 seconds.
Turn left onto Stanley Terrace on Stanley Terrace, continue for 148.3 meters and taking about 106.8 seconds.
Turn right, continue for 140.4 meters and taking about 101.1 seconds.
Keep left, continue for 182.3 meters and taking about 131.3 seconds.
Turn right, continue for 16.3 meters and taking about 11.8 seconds.
Turn left, continue for 320.5 meters and taking about 230.7 seconds.
Turn right, continue for 18.4 meters and taking about 13.3 seconds.
Keep left, continue for 11.4 meters and taking about 8.2 seconds.
Keep left, continue for 2.3 meters and taking about 1.7 seconds.
Keep left, continue for 30.2 meters and taking about 21.8 seconds.
Turn left, continue for 134.9 meters and taking about 97.1 seconds.
Turn right, continue for 444.2 meters and taking about 319.8 seconds.
Turn slight left, continue for 8.6 meters and taking about 6.2 seconds.
Turn slight right, continue for 29.7 meters and taking about 21.4 seconds.
Turn right, continue for 122.5 meters and taking about 88.2 seconds.
Turn left, continue for 30.9 meters and taking about 22.3 seconds.
Turn left, continue for 19.9 meters and taking about 14.3 seconds.
Turn right, continue for 76.0 meters and taking about 54.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
