Name: Alhambra Avenue, Instruction: Head south on Alhambra Avenue, Distance: 204.0 meters, Time: 146.9 seconds
Name: Radford Avenue, Instruction: Turn right onto Radford Avenue, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 90.1 meters, Time: 64.9 seconds
Name: -, Instruction: Turn right, Distance: 245.7 meters, Time: 176.9 seconds
Name: -, Instruction: Turn left, Distance: 114.5 meters, Time: 82.4 seconds
Name: -, Instruction: Keep right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn slight right, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: Indian Road, Instruction: Turn left onto Indian Road, Distance: 498.9 meters, Time: 359.2 seconds
Name: Westminster Avenue, Instruction: Turn right onto Westminster Avenue, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at Westminster Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
