Name: Parkade Entrance, Instruction: Head south on Parkade Entrance, Distance: 31.5 meters, Time: 22.7 seconds
Name: Maginn Mews, Instruction: Turn left onto Maginn Mews, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Continue straight, Distance: 58.0 meters, Time: 41.7 seconds
Name: -, Instruction: Turn left, Distance: 48.4 meters, Time: 34.8 seconds
Name: Karl Fraser Road, Instruction: Turn right onto Karl Fraser Road, Distance: 7.3 meters, Time: 5.3 seconds
Name: Clock Tower Road, Instruction: Turn left onto Clock Tower Road, Distance: 80.6 meters, Time: 58.1 seconds
Name: -, Instruction: Turn right, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Keep right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 152.3 meters, Time: 109.6 seconds
Name: -, Instruction: Turn left, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
