Name: Colborne Lodge Drive, Instruction: Head southeast on Colborne Lodge Drive, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn left, Distance: 28.7 meters, Time: 20.7 seconds
Name: Nature Trail, Instruction: Turn left onto Nature Trail, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Keep right, Distance: 138.6 meters, Time: 99.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 113.5 meters, Time: 81.7 seconds
Name: Spring Road, Instruction: Turn right onto Spring Road, Distance: 101.7 meters, Time: 73.2 seconds
Name: Spring Road, Instruction: Turn left onto Spring Road, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Keep right, Distance: 332.1 meters, Time: 239.1 seconds
Name: -, Instruction: Turn slight left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
