Name: Westlake Crescent, Instruction: Head north on Westlake Crescent, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn left, Distance: 74.8 meters, Time: 53.9 seconds
Name: -, Instruction: Keep right, Distance: 118.4 meters, Time: 85.3 seconds
Name: Chisholm Avenue, Instruction: Turn left onto Chisholm Avenue, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.9 seconds
Name: Taylor Creek Hydro Corridor (East Section) Trail, Instruction: Turn left onto Taylor Creek Hydro Corridor (East Section) Trail, Distance: 17.7 meters, Time: 12.7 seconds
Name: Corduroy Lane, Instruction: Turn right onto Corduroy Lane, Distance: 210.7 meters, Time: 151.7 seconds
Name: Rexleigh Gravel Climb, Instruction: Turn left onto Rexleigh Gravel Climb, Distance: 30.1 meters, Time: 21.7 seconds
Name: Rexleigh Gravel Climb, Instruction: Turn right onto Rexleigh Gravel Climb, Distance: 117.7 meters, Time: 84.7 seconds
Name: Rexleigh Drive, Instruction: Continue straight onto Rexleigh Drive, Distance: 219.9 meters, Time: 158.3 seconds
Name: Glen Albert Drive, Instruction: Turn right onto Glen Albert Drive, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 223.8 meters, Time: 161.2 seconds
Name: -, Instruction: Keep left, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.5 meters, Time: 6.2 seconds
Name: Curran Drive, Instruction: Turn left onto Curran Drive, Distance: 6.3 meters, Time: 4.5 seconds
Name: Ferris Road, Instruction: Turn right onto Ferris Road, Distance: 98.8 meters, Time: 71.1 seconds
Name: Plaxton Drive, Instruction: Turn left onto Plaxton Drive, Distance: 419.0 meters, Time: 301.7 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
