Name: Memory Lane, Instruction: Head west on Memory Lane, Distance: 166.0 meters, Time: 119.5 seconds
Name: -, Instruction: Turn right, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 217.6 meters, Time: 156.6 seconds
Name: -, Instruction: Keep right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Keep left, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn right, Distance: 329.7 meters, Time: 237.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Coady Avenue, Instruction: Turn right onto Coady Avenue, Distance: 4.8 meters, Time: 3.4 seconds
Name: Mallon Avenue, Instruction: Turn left onto Mallon Avenue, Distance: 68.3 meters, Time: 49.2 seconds
Name: Bertmount Avenue, Instruction: Turn right onto Bertmount Avenue, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 75.5 meters, Time: 54.3 seconds
Name: -, Instruction: Keep right, Distance: 152.0 meters, Time: 109.4 seconds
Name: -, Instruction: Keep right, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Keep right, Distance: 107.0 meters, Time: 77.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
