Name: Wicksteed Avenue, Instruction: Head west on Wicksteed Avenue, Distance: 139.0 meters, Time: 100.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 468.1 meters, Time: 337.0 seconds
Name: Clarke Street, Instruction: Turn slight right onto Clarke Street, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 181.8 meters, Time: 130.9 seconds
Name: -, Instruction: Keep left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn slight left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 393.9 meters, Time: 283.6 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 90.2 meters, Time: 65.0 seconds
Name: Randolph Road, Instruction: Turn right onto Randolph Road, Distance: 4.3 meters, Time: 3.1 seconds
Name: Parkhurst Boulevard, Instruction: Turn left onto Parkhurst Boulevard, Distance: 400.5 meters, Time: 288.4 seconds
Name: Hanna Road, Instruction: Turn right onto Hanna Road, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at Hanna Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
