Name: Abbott Avenue, Instruction: Head west on Abbott Avenue, Distance: 139.6 meters, Time: 100.5 seconds
Name: Indian Road Crescent, Instruction: Turn left onto Indian Road Crescent, Distance: 125.0 meters, Time: 90.0 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 147.3 meters, Time: 106.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Glenlake Avenue, Instruction: Turn right onto Glenlake Avenue, Distance: 257.2 meters, Time: 185.2 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 104.7 meters, Time: 75.4 seconds
Name: Pacific Avenue, Instruction: Turn left onto Pacific Avenue, Distance: 41.9 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Keep right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 161.0 meters, Time: 115.9 seconds
Name: -, Instruction: Keep right, Distance: 99.5 meters, Time: 71.6 seconds
Name: -, Instruction: Turn right, Distance: 306.2 meters, Time: 220.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
