Head west on Abbott Avenue on Abbott Avenue, continue for 139.6 meters and taking about 100.5 seconds.
Turn left onto Indian Road Crescent on Indian Road Crescent, continue for 125.0 meters and taking about 90.0 seconds.
Turn right, continue for 5.1 meters and taking about 3.7 seconds.
Turn left, continue for 2.1 meters and taking about 1.5 seconds.
Keep right, continue for 147.3 meters and taking about 106.0 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Turn right onto Glenlake Avenue on Glenlake Avenue, continue for 257.2 meters and taking about 185.2 seconds.
Turn left, continue for 3.5 meters and taking about 2.5 seconds.
Turn sharp right, continue for 104.7 meters and taking about 75.4 seconds.
Turn left onto Pacific Avenue on Pacific Avenue, continue for 41.9 meters and taking about 30.1 seconds.
Turn right, continue for 7.3 meters and taking about 5.3 seconds.
Turn left, continue for 5.0 meters and taking about 3.6 seconds.
Turn right, continue for 38.6 meters and taking about 27.8 seconds.
Turn left, continue for 38.3 meters and taking about 27.6 seconds.
Turn right, continue for 17.3 meters and taking about 12.5 seconds.
Turn left, continue for 42.2 meters and taking about 30.4 seconds.
Turn right, continue for 3.8 meters and taking about 2.7 seconds.
Keep right, continue for 22.1 meters and taking about 15.9 seconds.
Turn left, continue for 9.7 meters and taking about 7.0 seconds.
Keep right, continue for 12.0 meters and taking about 8.6 seconds.
Turn right, continue for 7.6 meters and taking about 5.5 seconds.
Turn left, continue for 161.0 meters and taking about 115.9 seconds.
Keep right, continue for 99.5 meters and taking about 71.6 seconds.
Turn right, continue for 306.2 meters and taking about 220.4 seconds.
Turn sharp right, continue for 5.6 meters and taking about 4.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
