Name: Bertmount Avenue, Instruction: Head north on Bertmount Avenue, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 182.9 meters, Time: 131.7 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 105.2 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Curzon Street, Instruction: Turn left onto Curzon Street, Distance: 468.7 meters, Time: 337.4 seconds
Name: Sproat Avenue, Instruction: Turn right onto Sproat Avenue, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: Leslie Street, Instruction: Turn left onto Leslie Street, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 112.9 meters, Time: 81.3 seconds
Name: Hastings Avenue, Instruction: Turn right onto Hastings Avenue, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at Hastings Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
