Name: Tanglewood Terrace, Instruction: Head north on Tanglewood Terrace, Distance: 62.0 meters, Time: 44.6 seconds
Name: River Valley Crescent, Instruction: Turn left onto River Valley Crescent, Distance: 75.5 meters, Time: 54.4 seconds
Name: Humber River Trail, Instruction: Turn left onto Humber River Trail, Distance: 155.9 meters, Time: 112.3 seconds
Name: -, Instruction: Turn right, Distance: 220.8 meters, Time: 159.0 seconds
Name: Waniska Avenue, Instruction: Turn right onto Waniska Avenue, Distance: 79.8 meters, Time: 57.5 seconds
Name: Smithfield Drive, Instruction: Turn left onto Smithfield Drive, Distance: 220.7 meters, Time: 158.9 seconds
Name: Ringley Avenue, Instruction: Turn right onto Ringley Avenue, Distance: 128.4 meters, Time: 92.5 seconds
Name: Aldgate Avenue, Instruction: Turn left onto Aldgate Avenue, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 235.6 meters, Time: 169.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 255.1 meters, Time: 183.7 seconds
Name: -, Instruction: Turn right, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
