Name: St John's Road, Instruction: Head east on St John's Road, Distance: 6.1 meters, Time: 4.4 seconds
Name: Watson Avenue, Instruction: Turn right onto Watson Avenue, Distance: 183.7 meters, Time: 132.3 seconds
Name: St Mark's Road, Instruction: Turn left onto St Mark's Road, Distance: 93.0 meters, Time: 67.0 seconds
Name: -, Instruction: Turn right, Distance: 217.1 meters, Time: 156.3 seconds
Name: -, Instruction: Keep left, Distance: 312.2 meters, Time: 224.8 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 325.8 meters, Time: 234.6 seconds
Name: -, Instruction: Keep right, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Keep right, Distance: 85.6 meters, Time: 61.6 seconds
Name: -, Instruction: Turn left, Distance: 114.5 meters, Time: 82.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
