Head south on Huntley Street on Huntley Street, continue for 11.4 meters and taking about 8.2 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Turn left, continue for 228.5 meters and taking about 164.5 seconds.
Turn left, continue for 11.0 meters and taking about 7.9 seconds.
Turn right, continue for 88.1 meters and taking about 63.4 seconds.
Turn slight left, continue for 644.1 meters and taking about 463.7 seconds.
Turn left, continue for 43.6 meters and taking about 31.4 seconds.
Keep right, continue for 70.9 meters and taking about 51.0 seconds.
Turn right, continue for 1.9 meters and taking about 1.4 seconds.
Keep left, continue for 19.1 meters and taking about 13.8 seconds.
Turn left, continue for 26.7 meters and taking about 19.2 seconds.
Turn right, continue for 45.9 meters and taking about 33.1 seconds.
Turn right, continue for 38.3 meters and taking about 27.6 seconds.
Turn right, continue for 44.2 meters and taking about 31.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
