Name: Tecumseth Street, Instruction: Head north on Tecumseth Street, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn right, Distance: 197.1 meters, Time: 141.9 seconds
Name: -, Instruction: Turn right, Distance: 214.5 meters, Time: 154.4 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 227.8 meters, Time: 164.0 seconds
Name: -, Instruction: Turn left, Distance: 102.3 meters, Time: 73.6 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
