Head north on Tecumseth Street on Tecumseth Street, continue for 17.8 meters and taking about 12.8 seconds.
Turn right, continue for 57.8 meters and taking about 41.6 seconds.
Turn right, continue for 197.1 meters and taking about 141.9 seconds.
Turn right, continue for 214.5 meters and taking about 154.4 seconds.
Turn left, continue for 4.8 meters and taking about 3.4 seconds.
Turn right, continue for 26.6 meters and taking about 19.1 seconds.
Turn slight right, continue for 5.6 meters and taking about 4.0 seconds.
Turn right, continue for 227.8 meters and taking about 164.0 seconds.
Turn left, continue for 102.3 meters and taking about 73.6 seconds.
Turn right, continue for 55.9 meters and taking about 40.2 seconds.
Turn left, continue for 47.3 meters and taking about 34.1 seconds.
Turn left, continue for 18.8 meters and taking about 13.6 seconds.
Turn left, continue for 1.9 meters and taking about 1.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
