Name: St. Bede's Road, Instruction: Head east on St. Bede's Road, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 397.1 meters, Time: 285.9 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 216.3 meters, Time: 155.8 seconds
Name: -, Instruction: Keep left, Distance: 178.4 meters, Time: 128.4 seconds
Name: Glenburn Avenue, Instruction: Turn right onto Glenburn Avenue, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 628.4 meters, Time: 452.4 seconds
Name: -, Instruction: Keep right, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Selwyn Avenue, Instruction: Turn right onto Selwyn Avenue, Distance: 6.4 meters, Time: 4.6 seconds
Name: Gardens Crescent, Instruction: Turn left onto Gardens Crescent, Distance: 305.1 meters, Time: 219.7 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
