Name: St Clair Avenue East, Instruction: Head east on St Clair Avenue East, Distance: 154.4 meters, Time: 111.2 seconds
Name: Sandra Road, Instruction: Keep right onto Sandra Road, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn right, Distance: 249.3 meters, Time: 179.5 seconds
Name: -, Instruction: Keep left, Distance: 422.6 meters, Time: 304.3 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 176.8 meters, Time: 127.3 seconds
Name: -, Instruction: Keep left, Distance: 191.1 meters, Time: 137.6 seconds
Name: -, Instruction: Keep right, Distance: 211.4 meters, Time: 152.2 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Woodmount Avenue, Instruction: Turn left onto Woodmount Avenue, Distance: 91.6 meters, Time: 66.0 seconds
Name: Virginia Avenue, Instruction: Turn left onto Virginia Avenue, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Arrive at Virginia Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
