Name: Alentejo Street, Instruction: Head north on Alentejo Street, Distance: 45.7 meters, Time: 32.9 seconds
Name: Turnberry Avenue, Instruction: Turn right onto Turnberry Avenue, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn right, Distance: 206.2 meters, Time: 148.4 seconds
Name: -, Instruction: Keep right, Distance: 118.8 meters, Time: 85.5 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Keep right, Distance: 172.2 meters, Time: 124.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.2 meters, Time: 7.3 seconds
Name: Pryor Avenue, Instruction: Turn left onto Pryor Avenue, Distance: 6.3 meters, Time: 4.6 seconds
Name: Silverthorn Avenue, Instruction: Turn right onto Silverthorn Avenue, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
