Name: Morse Street, Instruction: Head north on Morse Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.4 seconds
Name: Busy Street, Instruction: Turn left onto Busy Street, Distance: 5.8 meters, Time: 4.2 seconds
Name: Logan Avenue, Instruction: Turn right onto Logan Avenue, Distance: 1251.5 meters, Time: 901.1 seconds
Name: Bain Avenue, Instruction: Turn left onto Bain Avenue, Distance: 204.4 meters, Time: 147.2 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 113.3 meters, Time: 81.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
