Head west, continue for 15.8 meters and taking about 11.4 seconds.
Turn right, continue for 18.8 meters and taking about 13.5 seconds.
Keep right, continue for 31.2 meters and taking about 22.5 seconds.
Turn left, continue for 200.0 meters and taking about 144.0 seconds.
Turn right, continue for 37.3 meters and taking about 26.8 seconds.
Turn left, continue for 254.0 meters and taking about 182.9 seconds.
Turn right, continue for 17.5 meters and taking about 12.6 seconds.
Turn left, continue for 145.5 meters and taking about 104.8 seconds.
Keep right, continue for 32.7 meters and taking about 23.5 seconds.
Turn left, continue for 310.5 meters and taking about 223.6 seconds.
Turn right onto Ryerson Avenue on Ryerson Avenue, continue for 31.7 meters and taking about 22.8 seconds.
Turn left, continue for 8.0 meters and taking about 5.8 seconds.
Turn right, continue for 113.9 meters and taking about 82.0 seconds.
Turn right, continue for 4.9 meters and taking about 3.5 seconds.
Turn left onto Wolseley Street on Wolseley Street, continue for 42.8 meters and taking about 30.8 seconds.
Turn right onto Bathurst Street on Bathurst Street, continue for 5.6 meters and taking about 4.0 seconds.
Turn left onto Wolseley Street on Wolseley Street, continue for 8.9 meters and taking about 6.4 seconds.
Turn right, continue for 80.4 meters and taking about 57.9 seconds.
Turn left, continue for 294.1 meters and taking about 211.8 seconds.
Keep right, continue for 70.7 meters and taking about 50.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
