Name: Mutual Street, Instruction: Head south on Mutual Street, Distance: 29.0 meters, Time: 20.9 seconds
Name: Wood Street, Instruction: Turn right onto Wood Street, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 174.6 meters, Time: 125.7 seconds
Name: Granby Street, Instruction: Turn right onto Granby Street, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 151.6 meters, Time: 109.1 seconds
Name: -, Instruction: Keep left, Distance: 195.3 meters, Time: 140.6 seconds
Name: -, Instruction: Keep left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn slight left, Distance: 182.5 meters, Time: 131.4 seconds
Name: -, Instruction: Keep left, Distance: 319.0 meters, Time: 229.7 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
