Head south on Mutual Street on Mutual Street, continue for 29.0 meters and taking about 20.9 seconds.
Turn right onto Wood Street on Wood Street, continue for 3.1 meters and taking about 2.2 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn right, continue for 105.7 meters and taking about 76.1 seconds.
Turn left, continue for 174.6 meters and taking about 125.7 seconds.
Turn right onto Granby Street on Granby Street, continue for 15.6 meters and taking about 11.3 seconds.
Turn left, continue for 151.6 meters and taking about 109.1 seconds.
Keep left, continue for 195.3 meters and taking about 140.6 seconds.
Keep left, continue for 13.5 meters and taking about 9.7 seconds.
Turn slight left, continue for 182.5 meters and taking about 131.4 seconds.
Keep left, continue for 319.0 meters and taking about 229.7 seconds.
Turn right, continue for 48.6 meters and taking about 35.0 seconds.
Turn left, continue for 12.4 meters and taking about 8.9 seconds.
Turn right, continue for 56.3 meters and taking about 40.5 seconds.
Turn right, continue for 108.2 meters and taking about 77.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
