Name: Court Square, Instruction: Head south on Court Square, Distance: 5.6 meters, Time: 4.0 seconds
Name: Court Street, Instruction: Turn left onto Court Street, Distance: 73.8 meters, Time: 53.2 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 39.9 seconds
Name: -, Instruction: Turn left, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Keep right, Distance: 139.5 meters, Time: 100.4 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 196.5 meters, Time: 141.4 seconds
Name: Frederick Street, Instruction: Turn right onto Frederick Street, Distance: 213.0 meters, Time: 153.4 seconds
Name: Frederick Street, Instruction: Turn left onto Frederick Street, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 111.8 meters, Time: 80.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
