Name: Glebemount Avenue, Instruction: Head south on Glebemount Avenue, Distance: 343.7 meters, Time: 247.4 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 330.3 meters, Time: 237.8 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Wolverleigh Boulevard, Instruction: Turn left onto Wolverleigh Boulevard, Distance: 100.4 meters, Time: 72.3 seconds
Name: -, Instruction: Turn right, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Woodmount Avenue, Instruction: Turn right onto Woodmount Avenue, Distance: 50.4 meters, Time: 36.3 seconds
Name: Paul Estrela Lane, Instruction: Turn left onto Paul Estrela Lane, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at Paul Estrela Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
