Head south on Glebemount Avenue on Glebemount Avenue, continue for 343.7 meters and taking about 247.4 seconds.
Turn left, continue for 3.8 meters and taking about 2.7 seconds.
Turn right, continue for 330.3 meters and taking about 237.8 seconds.
Turn left, continue for 14.1 meters and taking about 10.2 seconds.
Turn left, continue for 28.9 meters and taking about 20.8 seconds.
Turn right, continue for 7.0 meters and taking about 5.0 seconds.
Turn left, continue for 51.4 meters and taking about 37.0 seconds.
Turn right, continue for 7.2 meters and taking about 5.2 seconds.
Turn left onto Wolverleigh Boulevard on Wolverleigh Boulevard, continue for 100.4 meters and taking about 72.3 seconds.
Turn right, continue for 88.2 meters and taking about 63.5 seconds.
Turn left, continue for 4.9 meters and taking about 3.5 seconds.
Turn right onto Woodmount Avenue on Woodmount Avenue, continue for 50.4 meters and taking about 36.3 seconds.
Turn left onto Paul Estrela Lane on Paul Estrela Lane, continue for 6.0 meters and taking about 4.3 seconds.
Arrive at Paul Estrela Lane, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
