Name: Wanda Road, Instruction: Head east on Wanda Road, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 39.9 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn slight left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 294.9 meters, Time: 212.3 seconds
Name: -, Instruction: Turn slight left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 136.0 meters, Time: 97.9 seconds
Name: West Toronto Railpath, Instruction: Turn sharp right onto West Toronto Railpath, Distance: 5.5 meters, Time: 3.9 seconds
Name: West Toronto Railpath, Instruction: Turn sharp left onto West Toronto Railpath, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 162.6 meters, Time: 117.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
