Head east on Wanda Road on Wanda Road, continue for 93.4 meters and taking about 67.2 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Turn right, continue for 39.9 meters and taking about 28.8 seconds.
Turn left, continue for 85.2 meters and taking about 61.3 seconds.
Turn right, continue for 9.8 meters and taking about 7.1 seconds.
Turn left, continue for 1.5 meters and taking about 1.1 seconds.
Turn slight left, continue for 9.3 meters and taking about 6.7 seconds.
Turn right, continue for 294.9 meters and taking about 212.3 seconds.
Turn slight left, continue for 44.3 meters and taking about 31.9 seconds.
Turn right, continue for 15.4 meters and taking about 11.1 seconds.
Turn right, continue for 25.4 meters and taking about 18.3 seconds.
Turn left, continue for 136.0 meters and taking about 97.9 seconds.
Turn sharp right onto West Toronto Railpath on West Toronto Railpath, continue for 5.5 meters and taking about 3.9 seconds.
Turn sharp left onto West Toronto Railpath on West Toronto Railpath, continue for 189.2 meters and taking about 136.2 seconds.
Turn left, continue for 5.9 meters and taking about 4.2 seconds.
Turn right, continue for 162.6 meters and taking about 117.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
