Name: Bain Avenue, Instruction: Head west on Bain Avenue, Distance: 147.0 meters, Time: 105.8 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Carlaw Avenue, Instruction: Turn right onto Carlaw Avenue, Distance: 299.4 meters, Time: 215.5 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep right, Distance: 162.9 meters, Time: 117.3 seconds
Name: Fenwick Avenue, Instruction: Continue straight onto Fenwick Avenue, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 158.7 meters, Time: 114.2 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Turn left, Distance: 110.6 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 163.1 meters, Time: 117.5 seconds
Name: -, Instruction: Turn left, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 160.5 meters, Time: 115.6 seconds
Name: Ellerbeck Street, Instruction: Turn right onto Ellerbeck Street, Distance: 6.4 meters, Time: 4.6 seconds
Name: Browning Avenue, Instruction: Turn left onto Browning Avenue, Distance: 73.5 meters, Time: 53.0 seconds
Name: -, Instruction: Arrive at Browning Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
