Name: Ace Lane, Instruction: Head east on Ace Lane, Distance: 6.2 meters, Time: 4.5 seconds
Name: Ryerson Avenue, Instruction: Turn right onto Ryerson Avenue, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 1682.7 meters, Time: 1211.5 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Keep left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Keep left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
