Name: Alton Avenue, Instruction: Head south on Alton Avenue, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 131.0 meters, Time: 94.3 seconds
Name: -, Instruction: Turn left, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 149.6 meters, Time: 107.7 seconds
Name: -, Instruction: Keep right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Keep right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight right, Distance: 249.3 meters, Time: 179.5 seconds
Name: -, Instruction: Keep right, Distance: 179.4 meters, Time: 129.2 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn slight left, Distance: 154.2 meters, Time: 111.0 seconds
Name: -, Instruction: Turn right, Distance: 256.4 meters, Time: 184.6 seconds
Name: -, Instruction: Keep left, Distance: 120.0 meters, Time: 86.4 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
