Head south on Alton Avenue on Alton Avenue, continue for 79.2 meters and taking about 57.0 seconds.
Turn left, continue for 5.8 meters and taking about 4.2 seconds.
Turn right, continue for 131.0 meters and taking about 94.3 seconds.
Turn left, continue for 109.9 meters and taking about 79.1 seconds.
Turn left, continue for 149.6 meters and taking about 107.7 seconds.
Keep right, continue for 19.2 meters and taking about 13.8 seconds.
Turn slight right, continue for 2.1 meters and taking about 1.5 seconds.
Keep left, continue for 69.8 meters and taking about 50.3 seconds.
Keep right, continue for 14.6 meters and taking about 10.5 seconds.
Turn slight right, continue for 249.3 meters and taking about 179.5 seconds.
Keep right, continue for 179.4 meters and taking about 129.2 seconds.
Turn right, continue for 16.9 meters and taking about 12.1 seconds.
Turn left, continue for 67.2 meters and taking about 48.4 seconds.
Turn slight left, continue for 154.2 meters and taking about 111.0 seconds.
Turn right, continue for 256.4 meters and taking about 184.6 seconds.
Keep left, continue for 120.0 meters and taking about 86.4 seconds.
Turn left, continue for 22.2 meters and taking about 16.0 seconds.
Turn right, continue for 17.6 meters and taking about 12.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
