Name: Mobile Drive, Instruction: Head east on Mobile Drive, Distance: 464.9 meters, Time: 334.7 seconds
Name: Bermondsey Road, Instruction: Turn left onto Bermondsey Road, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 402.1 meters, Time: 289.5 seconds
Name: -, Instruction: Keep right, Distance: 119.4 meters, Time: 85.9 seconds
Name: -, Instruction: Turn right, Distance: 71.4 meters, Time: 51.4 seconds
Name: Warner Gate, Instruction: Turn left onto Warner Gate, Distance: 197.6 meters, Time: 142.3 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 159.3 meters, Time: 114.7 seconds
Name: -, Instruction: Turn right, Distance: 160.9 meters, Time: 115.9 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
