Head east on Mobile Drive on Mobile Drive, continue for 464.9 meters and taking about 334.7 seconds.
Turn left onto Bermondsey Road on Bermondsey Road, continue for 12.9 meters and taking about 9.3 seconds.
Turn right, continue for 40.0 meters and taking about 28.8 seconds.
Turn right, continue for 46.2 meters and taking about 33.3 seconds.
Turn right, continue for 42.7 meters and taking about 30.7 seconds.
Turn right, continue for 402.1 meters and taking about 289.5 seconds.
Keep right, continue for 119.4 meters and taking about 85.9 seconds.
Turn right, continue for 71.4 meters and taking about 51.4 seconds.
Turn left onto Warner Gate on Warner Gate, continue for 197.6 meters and taking about 142.3 seconds.
Turn left, continue for 7.4 meters and taking about 5.3 seconds.
Turn right, continue for 159.3 meters and taking about 114.7 seconds.
Turn right, continue for 160.9 meters and taking about 115.9 seconds.
Turn right, continue for 45.0 meters and taking about 32.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
