Name: Wells Street, Instruction: Head east on Wells Street, Distance: 410.3 meters, Time: 295.4 seconds
Name: Kendal Avenue, Instruction: Turn right onto Kendal Avenue, Distance: 204.8 meters, Time: 147.5 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 108.0 meters, Time: 77.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Walmer Road, Instruction: Turn right onto Walmer Road, Distance: 5.8 meters, Time: 4.2 seconds
Name: Walmer Road, Instruction: Turn left onto Walmer Road, Distance: 38.6 meters, Time: 27.8 seconds
Name: Lowther Avenue, Instruction: Continue straight onto Lowther Avenue, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 103.3 meters, Time: 74.4 seconds
Name: -, Instruction: Turn right, Distance: 497.1 meters, Time: 357.9 seconds
Name: -, Instruction: Turn left, Distance: 167.0 meters, Time: 120.2 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Keep right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
