Name: Sorauren Avenue, Instruction: Head south on Sorauren Avenue, Distance: 184.4 meters, Time: 132.8 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 119.9 meters, Time: 86.3 seconds
Name: -, Instruction: Turn right, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn left, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Turn right, Distance: 201.4 meters, Time: 145.0 seconds
Name: -, Instruction: Turn left, Distance: 99.3 meters, Time: 71.5 seconds
Name: Garden Avenue, Instruction: Turn right onto Garden Avenue, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 95.0 meters, Time: 68.4 seconds
Name: -, Instruction: Turn right, Distance: 139.9 meters, Time: 100.7 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
