Head south on Sorauren Avenue on Sorauren Avenue, continue for 184.4 meters and taking about 132.8 seconds.
Turn right, continue for 4.6 meters and taking about 3.3 seconds.
Turn left, continue for 119.9 meters and taking about 86.3 seconds.
Turn right, continue for 44.8 meters and taking about 32.3 seconds.
Turn left, continue for 7.8 meters and taking about 5.6 seconds.
Turn right, continue for 117.1 meters and taking about 84.3 seconds.
Turn left, continue for 104.2 meters and taking about 75.0 seconds.
Turn right, continue for 201.4 meters and taking about 145.0 seconds.
Turn left, continue for 99.3 meters and taking about 71.5 seconds.
Turn right onto Garden Avenue on Garden Avenue, continue for 37.7 meters and taking about 27.2 seconds.
Turn left, continue for 95.0 meters and taking about 68.4 seconds.
Turn right, continue for 139.9 meters and taking about 100.7 seconds.
Turn right, continue for 48.9 meters and taking about 35.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
