Name: Palmer Avenue, Instruction: Head south on Palmer Avenue, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Keep left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn slight left, Distance: 169.5 meters, Time: 122.1 seconds
Name: -, Instruction: Keep left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Keep left, Distance: 207.7 meters, Time: 149.5 seconds
Name: -, Instruction: Turn right, Distance: 143.9 meters, Time: 103.6 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: Dentonia Park Avenue, Instruction: Turn left onto Dentonia Park Avenue, Distance: 430.0 meters, Time: 309.6 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 188.0 meters, Time: 135.4 seconds
Name: -, Instruction: Turn left, Distance: 92.5 meters, Time: 66.6 seconds
Name: Thora Avenue, Instruction: Turn right onto Thora Avenue, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
