Head south on Palmer Avenue on Palmer Avenue, continue for 6.3 meters and taking about 4.5 seconds.
Turn left, continue for 102.9 meters and taking about 74.1 seconds.
Keep left, continue for 13.5 meters and taking about 9.7 seconds.
Turn slight left, continue for 169.5 meters and taking about 122.1 seconds.
Keep left, continue for 14.8 meters and taking about 10.7 seconds.
Turn right, continue for 31.7 meters and taking about 22.8 seconds.
Keep left, continue for 207.7 meters and taking about 149.5 seconds.
Turn right, continue for 143.9 meters and taking about 103.6 seconds.
Turn left, continue for 14.2 meters and taking about 10.2 seconds.
Turn left onto Dentonia Park Avenue on Dentonia Park Avenue, continue for 430.0 meters and taking about 309.6 seconds.
Turn right, continue for 6.3 meters and taking about 4.5 seconds.
Turn left, continue for 22.1 meters and taking about 15.9 seconds.
Turn right, continue for 188.0 meters and taking about 135.4 seconds.
Turn left, continue for 92.5 meters and taking about 66.6 seconds.
Turn right onto Thora Avenue on Thora Avenue, continue for 42.0 meters and taking about 30.3 seconds.
Turn left, continue for 53.3 meters and taking about 38.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
