Name: Bayview Heights Drive, Instruction: Head south on Bayview Heights Drive, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 472.0 meters, Time: 339.9 seconds
Name: -, Instruction: Keep left, Distance: 12.0 meters, Time: 8.6 seconds
Name: Nesbitt Drive, Instruction: Turn right onto Nesbitt Drive, Distance: 443.0 meters, Time: 319.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 227.3 meters, Time: 163.7 seconds
Name: -, Instruction: Turn left, Distance: 154.8 meters, Time: 111.5 seconds
Name: -, Instruction: Turn slight right, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn slight left, Distance: 226.1 meters, Time: 162.8 seconds
Name: Edgewood Crescent, Instruction: Turn left onto Edgewood Crescent, Distance: 4.5 meters, Time: 3.3 seconds
Name: Glen Road, Instruction: Turn right onto Glen Road, Distance: 93.7 meters, Time: 67.5 seconds
Name: -, Instruction: Arrive at Glen Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
