Name: Woodlawn Avenue East, Instruction: Head west on Woodlawn Avenue East, Distance: 286.1 meters, Time: 206.0 seconds
Name: -, Instruction: Turn left, Distance: 201.4 meters, Time: 145.0 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 258.7 meters, Time: 186.3 seconds
Name: -, Instruction: Turn right, Distance: 41.4 meters, Time: 29.8 seconds
Name: Crown's Lane, Instruction: Turn left onto Crown's Lane, Distance: 3.9 meters, Time: 2.8 seconds
Name: Marlborough Avenue, Instruction: Turn right onto Marlborough Avenue, Distance: 589.1 meters, Time: 424.2 seconds
Name: MacPherson Avenue, Instruction: Turn right onto MacPherson Avenue, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 81.7 meters, Time: 58.9 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
