Head west on Woodlawn Avenue East on Woodlawn Avenue East, continue for 286.1 meters and taking about 206.0 seconds.
Turn left, continue for 201.4 meters and taking about 145.0 seconds.
Turn right, continue for 17.6 meters and taking about 12.7 seconds.
Turn left, continue for 258.7 meters and taking about 186.3 seconds.
Turn right, continue for 41.4 meters and taking about 29.8 seconds.
Turn left onto Crown's Lane on Crown's Lane, continue for 3.9 meters and taking about 2.8 seconds.
Turn right onto Marlborough Avenue on Marlborough Avenue, continue for 589.1 meters and taking about 424.2 seconds.
Turn right onto MacPherson Avenue on MacPherson Avenue, continue for 4.7 meters and taking about 3.4 seconds.
Turn left, continue for 52.7 meters and taking about 38.0 seconds.
Turn right, continue for 21.9 meters and taking about 15.7 seconds.
Turn left, continue for 81.7 meters and taking about 58.9 seconds.
Turn right, continue for 37.5 meters and taking about 27.0 seconds.
Turn left, continue for 92.6 meters and taking about 66.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
