Name: Jarvis Street, Instruction: Head south on Jarvis Street, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 112.2 meters, Time: 80.8 seconds
Name: -, Instruction: Turn left, Distance: 159.7 meters, Time: 115.0 seconds
Name: Allan Sparrow Lane, Instruction: Turn right onto Allan Sparrow Lane, Distance: 3.3 meters, Time: 2.4 seconds
Name: Charles Street East, Instruction: Turn left onto Charles Street East, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 313.8 meters, Time: 225.9 seconds
Name: -, Instruction: Turn slight right, Distance: 139.4 meters, Time: 100.4 seconds
Name: -, Instruction: Keep right, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Keep right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Collier Street, Instruction: Keep left onto Collier Street, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Arrive at Collier Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
