Name: Belsize Drive, Instruction: Head west on Belsize Drive, Distance: 100.9 meters, Time: 72.6 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Keep left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Forman Avenue, Instruction: Turn right onto Forman Avenue, Distance: 193.2 meters, Time: 139.1 seconds
Name: -, Instruction: Turn left, Distance: 214.0 meters, Time: 154.1 seconds
Name: -, Instruction: Keep right, Distance: 57.3 meters, Time: 41.2 seconds
Name: Lane East Mount Pleasant South Manor, Instruction: Turn right onto Lane East Mount Pleasant South Manor, Distance: 4.8 meters, Time: 3.4 seconds
Name: Manor Road East, Instruction: Turn left onto Manor Road East, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 198.6 meters, Time: 143.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 581.6 meters, Time: 418.7 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
