Name: Princess Street, Instruction: Head south on Princess Street, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 110.8 meters, Time: 79.7 seconds
Name: -, Instruction: Turn left, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 697.7 meters, Time: 502.3 seconds
Name: Scott Street, Instruction: Turn left onto Scott Street, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 101.5 meters, Time: 73.1 seconds
Name: -, Instruction: Turn right, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: PATH, Instruction: Turn left onto PATH, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
