Head south on Princess Street on Princess Street, continue for 56.4 meters and taking about 40.6 seconds.
Turn right, continue for 110.8 meters and taking about 79.7 seconds.
Turn left, continue for 83.3 meters and taking about 60.0 seconds.
Turn right, continue for 697.7 meters and taking about 502.3 seconds.
Turn left onto Scott Street on Scott Street, continue for 17.0 meters and taking about 12.2 seconds.
Turn right, continue for 101.5 meters and taking about 73.1 seconds.
Turn right, continue for 101.9 meters and taking about 73.4 seconds.
Turn left, continue for 22.7 meters and taking about 16.4 seconds.
Turn left, continue for 25.4 meters and taking about 18.3 seconds.
Turn left onto PATH on PATH, continue for 26.9 meters and taking about 19.3 seconds.
Turn left, continue for 25.1 meters and taking about 18.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
