Name: Granby Street, Instruction: Head southwest on Granby Street, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 63.5 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 170.2 meters, Time: 122.6 seconds
Name: -, Instruction: Keep right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 278.0 meters, Time: 200.1 seconds
Name: Maitland Street, Instruction: Turn left onto Maitland Street, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 249.1 meters, Time: 179.3 seconds
Name: St. Joseph Street, Instruction: Turn left onto St. Joseph Street, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: St Nicholas Street, Instruction: Turn right onto St Nicholas Street, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn left, Distance: 141.6 meters, Time: 102.0 seconds
Name: -, Instruction: Turn right, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Keep left, Distance: 103.3 meters, Time: 74.4 seconds
Name: -, Instruction: Turn left, Distance: 269.1 meters, Time: 193.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
