Head southwest on Granby Street on Granby Street, continue for 7.9 meters and taking about 5.7 seconds.
Turn right, continue for 63.5 meters and taking about 45.8 seconds.
Turn left, continue for 92.2 meters and taking about 66.4 seconds.
Turn right, continue for 17.9 meters and taking about 12.9 seconds.
Turn left, continue for 170.2 meters and taking about 122.6 seconds.
Keep right, continue for 28.3 meters and taking about 20.4 seconds.
Turn right, continue for 278.0 meters and taking about 200.1 seconds.
Turn left onto Maitland Street on Maitland Street, continue for 16.7 meters and taking about 12.0 seconds.
Turn right, continue for 249.1 meters and taking about 179.3 seconds.
Turn left onto St. Joseph Street on St. Joseph Street, continue for 62.9 meters and taking about 45.3 seconds.
Turn right, continue for 5.5 meters and taking about 4.0 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn right onto St Nicholas Street on St Nicholas Street, continue for 75.3 meters and taking about 54.2 seconds.
Turn left, continue for 141.6 meters and taking about 102.0 seconds.
Turn right, continue for 84.3 meters and taking about 60.7 seconds.
Keep left, continue for 103.3 meters and taking about 74.4 seconds.
Turn left, continue for 269.1 meters and taking about 193.8 seconds.
Turn sharp right, continue for 39.8 meters and taking about 28.7 seconds.
Turn right, continue for 11.4 meters and taking about 8.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
