Head east on Canada's Walk of Fame on Canada's Walk of Fame, continue for 94.8 meters and taking about 68.2 seconds.
Turn left, continue for 310.9 meters and taking about 223.8 seconds.
Turn right, continue for 51.7 meters and taking about 37.2 seconds.
Turn left, continue for 1115.1 meters and taking about 802.9 seconds.
Turn right, continue for 17.2 meters and taking about 12.4 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn slight left, continue for 20.1 meters and taking about 14.5 seconds.
Turn right, continue for 22.8 meters and taking about 16.4 seconds.
Turn left, continue for 93.9 meters and taking about 67.6 seconds.
Turn left, continue for 2.0 meters and taking about 1.4 seconds.
Turn right, continue for 120.4 meters and taking about 86.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
