Name: Park Lawn Road, Instruction: Head northwest on Park Lawn Road, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 210.5 meters, Time: 151.5 seconds
Name: -, Instruction: Turn right, Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 476.5 meters, Time: 343.1 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 323.9 meters, Time: 233.2 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
