Name: Warner Avenue, Instruction: Head north on Warner Avenue, Distance: 149.2 meters, Time: 107.4 seconds
Name: -, Instruction: Turn right, Distance: 159.9 meters, Time: 115.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 92.0 meters, Time: 66.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 19.9 meters, Time: 14.4 seconds
Name: -, Instruction: Turn slight left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 195.0 meters, Time: 140.4 seconds
Name: -, Instruction: Turn right, Distance: 271.3 meters, Time: 195.3 seconds
Name: -, Instruction: Keep right, Distance: 496.1 meters, Time: 357.2 seconds
Name: -, Instruction: Keep right, Distance: 223.1 meters, Time: 160.7 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
