Head north on Warner Avenue on Warner Avenue, continue for 149.2 meters and taking about 107.4 seconds.
Turn right, continue for 159.9 meters and taking about 115.1 seconds.
Turn sharp left, continue for 92.0 meters and taking about 66.3 seconds.
Turn right, continue for 6.1 meters and taking about 4.4 seconds.
Turn slight left, continue for 19.9 meters and taking about 14.4 seconds.
Turn slight left, continue for 8.8 meters and taking about 6.3 seconds.
Turn right, continue for 195.0 meters and taking about 140.4 seconds.
Turn right, continue for 271.3 meters and taking about 195.3 seconds.
Keep right, continue for 496.1 meters and taking about 357.2 seconds.
Keep right, continue for 223.1 meters and taking about 160.7 seconds.
Turn left, continue for 71.7 meters and taking about 51.6 seconds.
Turn right, continue for 32.9 meters and taking about 23.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
