Name: Cross Street, Instruction: Head west on Cross Street, Distance: 133.0 meters, Time: 95.7 seconds
Name: Gladstone Avenue, Instruction: Turn right onto Gladstone Avenue, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: Stonehouse Crescent, Instruction: Turn left onto Stonehouse Crescent, Distance: 88.6 meters, Time: 63.8 seconds
Name: Dufferin Street, Instruction: Turn right onto Dufferin Street, Distance: 28.3 meters, Time: 20.4 seconds
Name: Bank Street, Instruction: Turn left onto Bank Street, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 74.0 meters, Time: 53.2 seconds
Name: -, Instruction: Turn right, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn slight left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 67.1 meters, Time: 48.3 seconds
Name: -, Instruction: Turn left, Distance: 106.3 meters, Time: 76.6 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn slight right, Distance: 43.3 meters, Time: 31.2 seconds
Name: Brockton Avenue, Instruction: Turn sharp left onto Brockton Avenue, Distance: 312.9 meters, Time: 225.3 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Keep right, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: Lansdowne Avenue, Instruction: Turn right onto Lansdowne Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: Rideau Avenue, Instruction: Turn left onto Rideau Avenue, Distance: 104.5 meters, Time: 75.2 seconds
Name: MacDonell Avenue, Instruction: Turn left onto MacDonell Avenue, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: Garden Avenue, Instruction: Turn right onto Garden Avenue, Distance: 116.2 meters, Time: 83.7 seconds
Name: -, Instruction: Turn left, Distance: 51.9 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
