Head west on Cross Street on Cross Street, continue for 133.0 meters and taking about 95.7 seconds.
Turn right onto Gladstone Avenue on Gladstone Avenue, continue for 57.5 meters and taking about 41.4 seconds.
Turn left, continue for 34.9 meters and taking about 25.1 seconds.
Turn right, continue for 4.1 meters and taking about 2.9 seconds.
Turn left onto Stonehouse Crescent on Stonehouse Crescent, continue for 88.6 meters and taking about 63.8 seconds.
Turn right onto Dufferin Street on Dufferin Street, continue for 28.3 meters and taking about 20.4 seconds.
Turn left onto Bank Street on Bank Street, continue for 8.5 meters and taking about 6.1 seconds.
Turn right, continue for 7.3 meters and taking about 5.2 seconds.
Turn sharp left, continue for 74.0 meters and taking about 53.2 seconds.
Turn right, continue for 87.2 meters and taking about 62.8 seconds.
Turn slight left, continue for 43.6 meters and taking about 31.4 seconds.
Turn right, continue for 67.1 meters and taking about 48.3 seconds.
Turn left, continue for 106.3 meters and taking about 76.6 seconds.
Turn right, continue for 8.1 meters and taking about 5.8 seconds.
Turn left, continue for 38.5 meters and taking about 27.7 seconds.
Turn slight right, continue for 43.3 meters and taking about 31.2 seconds.
Turn sharp left onto Brockton Avenue on Brockton Avenue, continue for 312.9 meters and taking about 225.3 seconds.
Turn left, continue for 3.6 meters and taking about 2.6 seconds.
Turn right, continue for 9.0 meters and taking about 6.5 seconds.
Keep right, continue for 27.1 meters and taking about 19.5 seconds.
Turn left, continue for 17.4 meters and taking about 12.5 seconds.
Turn slight left, continue for 104.9 meters and taking about 75.5 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn right onto Lansdowne Avenue on Lansdowne Avenue, continue for 5.7 meters and taking about 4.1 seconds.
Turn left onto Rideau Avenue on Rideau Avenue, continue for 104.5 meters and taking about 75.2 seconds.
Turn left onto MacDonell Avenue on MacDonell Avenue, continue for 55.9 meters and taking about 40.2 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Turn left, continue for 9.3 meters and taking about 6.7 seconds.
Turn slight left, continue for 92.8 meters and taking about 66.8 seconds.
Turn right, continue for 35.0 meters and taking about 25.2 seconds.
Turn left, continue for 3.4 meters and taking about 2.5 seconds.
Turn right onto Garden Avenue on Garden Avenue, continue for 116.2 meters and taking about 83.7 seconds.
Turn left, continue for 51.9 meters and taking about 37.3 seconds.
Turn left, continue for 86.7 meters and taking about 62.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
