Name: Harrison Street, Instruction: Head east on Harrison Street, Distance: 56.7 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 118.4 meters, Time: 85.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: Shaw Street, Instruction: Turn right onto Shaw Street, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 100.4 meters, Time: 72.3 seconds
Name: Crawford Street, Instruction: Turn right onto Crawford Street, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 91.5 meters, Time: 65.9 seconds
Name: Montrose Avenue, Instruction: Turn left onto Montrose Avenue, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 172.5 meters, Time: 124.2 seconds
Name: Grace Street, Instruction: Turn left onto Grace Street, Distance: 24.1 meters, Time: 17.4 seconds
Name: Plymouth Avenue, Instruction: Turn right onto Plymouth Avenue, Distance: 85.6 meters, Time: 61.6 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Bellwoods Avenue, Instruction: Turn left onto Bellwoods Avenue, Distance: 35.1 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
