Name: Eaton Centre level 3, Instruction: Head south on Eaton Centre level 3, Distance: 124.1 meters, Time: 89.3 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 309.8 meters, Time: 223.1 seconds
Name: -, Instruction: Keep right, Distance: 155.9 meters, Time: 112.2 seconds
Name: -, Instruction: Keep left, Distance: 159.6 meters, Time: 114.9 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Keep right, Distance: 76.0 meters, Time: 54.7 seconds
Name: -, Instruction: Turn slight left, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
