Head south on Eaton Centre level 3 on Eaton Centre level 3, continue for 124.1 meters and taking about 89.3 seconds.
Turn left, continue for 19.1 meters and taking about 13.8 seconds.
Turn right, continue for 52.8 meters and taking about 38.0 seconds.
Turn left, continue for 11.3 meters and taking about 8.1 seconds.
Turn right, continue for 30.6 meters and taking about 22.1 seconds.
Turn left, continue for 309.8 meters and taking about 223.1 seconds.
Keep right, continue for 155.9 meters and taking about 112.2 seconds.
Keep left, continue for 159.6 meters and taking about 114.9 seconds.
Turn right, continue for 21.8 meters and taking about 15.7 seconds.
Keep right, continue for 76.0 meters and taking about 54.7 seconds.
Turn slight left, continue for 14.4 meters and taking about 10.3 seconds.
Turn right, continue for 32.1 meters and taking about 23.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
