Head south, continue for 572.2 meters and taking about 411.9 seconds.
Turn right, continue for 31.6 meters and taking about 22.7 seconds.
Turn right, continue for 119.7 meters and taking about 86.2 seconds.
Turn left, continue for 17.8 meters and taking about 12.8 seconds.
Turn right, continue for 10.1 meters and taking about 7.3 seconds.
Turn left, continue for 13.8 meters and taking about 9.9 seconds.
Turn right, continue for 320.6 meters and taking about 230.8 seconds.
Turn left, continue for 5.1 meters and taking about 3.7 seconds.
Turn right onto St Clements Avenue on St Clements Avenue, continue for 10.5 meters and taking about 7.6 seconds.
Turn left, continue for 5.4 meters and taking about 3.9 seconds.
Turn right, continue for 748.4 meters and taking about 538.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
