Name: Keele Street, Instruction: Head south on Keele Street, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Keep left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Avon Drive, Instruction: Turn right onto Avon Drive, Distance: 179.3 meters, Time: 129.1 seconds
Name: Bicknell Avenue, Instruction: Turn left onto Bicknell Avenue, Distance: 489.6 meters, Time: 352.5 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Keep left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Nashville Avenue, Instruction: Turn right onto Nashville Avenue, Distance: 44.1 meters, Time: 31.8 seconds
Name: Nashville Avenue, Instruction: Keep left onto Nashville Avenue, Distance: 33.4 meters, Time: 24.1 seconds
Name: Forbes Avenue, Instruction: Turn left onto Forbes Avenue, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 146.3 meters, Time: 105.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 623.2 meters, Time: 448.7 seconds
Name: -, Instruction: Keep right, Distance: 102.7 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
