Name: Langholm Drive, Instruction: Head east on Langholm Drive, Distance: 188.6 meters, Time: 135.8 seconds
Name: Renshaw Street, Instruction: Turn right onto Renshaw Street, Distance: 155.3 meters, Time: 111.8 seconds
Name: Tavistock Road, Instruction: Turn left onto Tavistock Road, Distance: 277.1 meters, Time: 199.5 seconds
Name: -, Instruction: Turn right, Distance: 851.6 meters, Time: 613.1 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 240.0 meters, Time: 172.8 seconds
Name: -, Instruction: Keep left, Distance: 29.6 meters, Time: 21.3 seconds
Name: Sir William Hearst Avenue, Instruction: Turn right onto Sir William Hearst Avenue, Distance: 93.0 meters, Time: 66.9 seconds
Name: -, Instruction: Turn right, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
