Name: Baldwin Street, Instruction: Head east on Baldwin Street, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 525.4 meters, Time: 378.3 seconds
Name: -, Instruction: Turn right, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 241.2 meters, Time: 173.7 seconds
Name: -, Instruction: Turn left, Distance: 140.6 meters, Time: 101.2 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
